plan_a,plan_b,conflict_points,min_time_diff,max_required_gap,cells
69,92,1,26.70884422628467,86.38329575665793,32:25:1
71,95,1,50.66581312374251,87.39146194659625,29:36:3
78,93,1,44.836201347019596,78.47547798717642,42:21:1
